time,coin,dir,px,sz,ntl,fee,closedPnl
25/03/2025 08:11:35,AAVE,Open Short,188.38,0.74,139.4012,0.04879,-0.04879
25/03/2025 08:30:37,AAVE,Close Short,188.16,0.74,139.23839999999998,0.048733,0.114067
25/03/2025 08:34:22,AAVE,Open Short,187.74,1.1,206.51400000000004,0.072279,-0.072279
25/03/2025 21:57:46,AAVE,Close Short,186.78,1.1,205.45800000000003,0.07191,0.98409
27/03/2025 08:17:09,AAVE,Open Long,185.04,1.04,192.4416,0.067354,-0.067354
28/03/2025 03:30:38,AAVE,Close Long,186.66,1.04,194.1264,0.067944,1.616856
28/03/2025 08:22:21,AAVE,Open Short,177.12,0.97,171.8064,0.060132,-0.060132
28/03/2025 14:52:51,AAVE,Close Short,171.24,0.97,166.1028,0.058135,5.645465
31/03/2025 09:37:10,SOL,Open Short,125.84,2.22,279.36480000000006,0.097777,-0.097777
31/03/2025 12:10:12,SOL,Close Short,123.33,2.22,273.7926,0.095827,5.476373
01/04/2025 08:19:49,SOL,Open Long,125.9586956522,2.3,289.70500000006,0.101395,-0.101395
01/04/2025 10:15:49,SOL,Close Long,128.1,2.3,294.62999999999994,0.10312,4.822100000000001
02/04/2025 08:11:51,AAVE,Open Short,158.7,1.58,250.74599999999998,0.087761,-0.087761
02/04/2025 09:31:28,AAVE,Close Short,163.5396202532,1.58,258.392600000056,0.090436,-7.737036000000001
03/04/2025 08:10:13,AAVE,Open Long,155.0430107527,0.93,144.19000000001103,0.050465,-0.050465
03/04/2025 14:43:51,AAVE,Close Long,148.8580645161,0.93,138.43799999997302,0.048452,-5.800442
04/04/2025 09:13:51,ADA,Open Long,0.65675,368,241.68399999999997,0.084589,-0.084589
04/04/2025 12:55:30,ADA,Close Long,0.64034,368,235.64512000000002,0.082475,-6.121354999999999
04/04/2025 15:45:37,BTC,Open Long,82375,0.00311,256.18625,0.089665,-0.089665
04/04/2025 15:46:17,BTC,Close Long,82524,0.00311,256.64964,0.089827,0.37356300000000003
07/04/2025 08:09:36,BTC,Open Short,76826,0.01236,949.56936,0.332349,-0.332349
07/04/2025 16:13:47,BTC,Close Short,79980,0.01236,988.5527999999999,0.345993,-39.329433
08/04/2025 11:11:59,BTC,Open Short,79192,0.01329,1052.46168,0.105245,-0.105245
08/04/2025 11:11:59,BTC,Open Short,79192,0.00795,629.5764,0.062957,-0.062957
08/04/2025 18:39:24,BTC,Close Short,77496,0.02124,1646.0150399999998,0.576105,35.446935
09/04/2025 10:31:18,BTC,Open Long,77229,0.01727,1333.74483,0.133374,-0.133374
09/04/2025 19:21:03,BTC,Close Long,79478,0.01727,1372.58506,0.480404,38.359826
10/04/2025 09:34:36,BTC,Open Short,81373,0.01167,949.6229099999999,0.094962,-0.094962
10/04/2025 17:53:26,BTC,Close Short,78935,0.01167,921.1714499999999,0.32241,28.12905
11/04/2025 08:16:33,BTC,Open Long,81082,0.02198,1782.18236,0.178217,-0.178217
11/04/2025 12:20:41,BTC,Close Long,82854,0.02198,1821.13092,0.637395,38.311165
14/04/2025 09:48:49,AAVE,Open Long,141.72,0.21,29.7612,0.002976,-0.002976
14/04/2025 09:48:53,AAVE,Open Long,141.72,8.37,1186.1963999999998,0.118619,-0.118619
14/04/2025 12:52:10,AAVE,Close Long,146.3976223776,8.58,1256.0915999998078,0.439631,39.694369
15/04/2025 09:08:19,AAVE,Open Long,138.78,7.89,1094.9741999999999,0.109497,-0.109497
